stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PA61,,PA61-Nataniel Cox / Esq. Franklin,-33.4731533518852,-70.6496618347882,
PA62,,PA62-Parada 1 / (M) Franklin,-33.4752841903027,-70.6484152996958,
PH110,,PH110-Parada 1 / Paradero 3 Gran Avenida,-33.4793262248409,-70.648348954018,
PH111,,PH111-Parada 1 / Hospital Barros Luco,-33.483505350006,-70.6495300002944,
PH112,,PH112-Parada 3 / Muni.San Miguel,-33.4854633414079,-70.6500810002857,
PH113,,PH113-Parada 1 / Paradero 8 Gran Avenida,-33.4894403229374,-70.651169000211,
PH114,,PH114-Parada / Paradero 9 Gran Avenida,-33.4917723132102,-70.6517639996115,
PH115,,PH115-Parada / Paradero 9 1/2 Gran Avenida,-33.4948842998019,-70.6525950000488,
PH792,,PH792-Parada 3 / Paradero 10 Gran Avenida,-33.4979012863605,-70.6534430004759,
PH118,,PH118-Parada / Colegio Chile,-33.5013932756785,-70.6544513353118,
PH119,,PH119-Parada 3 / (M) Departamental,-33.5039782568293,-70.6552049996668,
PH120,,PH120-Parada / Paradero 13 Gran Avenida,-33.506017247448,-70.6557720005178,
PH121,,PH121-Parada / Paradero 14 Gran Avenida,-33.5083692367948,-70.6564389998103,
PH122,,PH122-Parada / Paradero 15 Gran Avenida,-33.5124068196941,-70.6575886076466,
PH123,,PH123-Parada 1 / Paradero 17 Gran Avenida,-33.5143320149176,-70.6580998935816,
PG1,,PG1-Parada / (M) Lo Ovalle,-33.518425398773,-70.6592730647045,
PG2,,PG2-Parada 1 / Paradero 19 Gran Avenida,-33.5203395095231,-70.6598166251496,
PG3,,PG3-Parada 1 / Paradero 2 Gran Avenida,-33.5239560825402,-70.6608309604853,
PG4,,PG4-Parada 1 / (M) El Parrón,-33.526217152479,-70.6614939998493,
PG5,,PG5-Parada 1 / Paradero 22 Gran Avenida,-33.5287673425173,-70.6621576035493,
PG6,,PG6-Parada / Iglesia Don Bosco,-33.5312652406287,-70.6628258120521,
PG7,,PG7-Parada / Muni.La Cisterna,-33.5340461176512,-70.6635799996099,
PG8,,PG8-Parada 9 / (M) La Cisterna,-33.5378561013313,-70.6645930002273,
PG9,,PG9-Parada 1 / Paradero 27 Gran Avenida,-33.542641076519,-70.666048999907,
PG10,,PG10-Parada 1 / Paradero 28 Gran Avenida,-33.5461390294524,-70.6688420004519,
PG11,,PG11-Parada / Paradero 29 Gran Avenida,-33.5488619695239,-70.6710056159006,
PG12,,PG12-Parada 1 / Paradero 3 - Gran Avenida,-33.5507879682108,-70.6725130002845,
PG13,,PG13-Parada 1 / Paradero 31 Gran Avenida,-33.5538920011205,-70.6749622112213,
PG14,,PG14-Parada / Paradero 32 Gran Avenida,-33.5560368987031,-70.6766289995742,
PG15,,PG15-Gran Avenida / Esq. Lo Espina,-33.5582452866835,-70.6783597467787,
PG16,,PG16-Parada / Paradero 33 Gran Avenida,-33.5594534173714,-70.6793038700913,
PG17,,PG17-Parada / Escuela De Aviación,-33.561596823456,-70.6809899997513,
PG18,,PG18-Parada / Paradero 35 Gran Avenida,-33.5637217945629,-70.6826899995772,
PG19,,PG19-Parada / Paradero 36 Gran Avenida,-33.5660857614543,-70.6846249999229,
PG20,,PG20-Parada 1 / Paradero 36 1/2 Gran Avenida,-33.5681027326924,-70.6862820003468,
PG21,,PG21-Parada / Paradero 37 Gran Avenida,-33.570892696563,-70.688342000309,
PG22,,PG22-Parada / Paradero 38 Gran Avenida,-33.5736754415643,-70.6903673151627,
PG23,,PG23-Parada 1 / Paradero 39 Gran Avenida,-33.5759075467255,-70.6919972392394,
PG24,,PG24-Parada / Paradero 4 Gran Avenida,-33.5785545991094,-70.6939259996805,
PG25,,PG25-Parada 1 / Paradero 41 Gran Avenida,-33.5823775495046,-70.6967600002864,
PG26,,PG26-Parada 2 / Est.Freire,-33.5856884876271,-70.7002759999798,
PG27,,PG27-Av.José M. Balmaceda / Esq. Urmeneta,-33.5851702360821,-70.7038658901225,
PG28,,PG28-Urmeneta / Esq. 12 De Febrero,-33.5864934105817,-70.7046020001717,
PG29,,PG29-Urmeneta / Esq. Av. Colón-Norte,-33.5890815485634,-70.7055687669733,
PG30,,PG30-Urmeneta / Esq. Covadonga,-33.5934443650067,-70.7071529998305,
PG31,,PG31-San José / Esq. Eyzaguirre,-33.5961493681589,-70.7069270004145,
PG32,,PG32-San José / Esq. Bulnes,-33.5967875611164,-70.7026080123529,
PG1204,,PG1204-San José / Esq. San Martín,-33.5985236091953,-70.6954610003044,
PG1580,,PG1580-José Besa / Esq. Antonio Varas,-33.5982176000836,-70.6938409998273,
PG1581,,PG1581-José Besa / Esq. San José,-33.5986945929554,-70.6942569995444,
PG1219,,PG1219-San José / Esq. José Besa,-33.5989785849051,-70.6939694426997,
PG529,,PG529-José Joaquín Pérez / Esq. San José,-33.5968696528366,-70.7011015359566,
PG36,,PG36-Esmeralda / Esq. Bulnes,-33.5982113052773,-70.7026149777583,
PG37,,PG37-Freire / Esq. San José,-33.5967423978542,-70.7052630001615,
PG1599,,PG1599-Parada 2 / Plaza De San Bernardo,-33.5922410335906,-70.7036889141713,
PG40,,PG40-Freire / Esq. 12 De Febrero,-33.5880638447527,-70.7008673102316,
PG41,,PG41-Parada 1 / Est.Freire,-33.5861965050969,-70.6992459996499,
PG43,,PG43-Parada 2 / Paradero 41 Gran Avenida,-33.5821045585531,-70.6962369995067,
PG44,,PG44-Parada / Paradero 4 Gran Avenida,-33.5796757477403,-70.6944169366011,
PG45,,PG45-Parada 2 / Paradero 39 Gran Avenida,-33.5768376269181,-70.6923650001754,
PG46,,PG46-Parada / Paradero 38 Gran Avenida,-33.5744666574152,-70.6906299996713,
PG47,,PG47-Parada / Paradero 37 Gran Avenida,-33.5717905076772,-70.6886514828575,
PG48,,PG48-Parada 2 / Paradero 36 1/2 Gran Avenida,-33.5686777712449,-70.6864190175424,
PG49,,PG49-Parada / Paradero 36 Gran Avenida,-33.5664137619082,-70.684569000269,
PG50,,PG50-Parada / Paradero 35 Gran Avenida,-33.5642217927873,-70.6827870002611,
PG51,,PG51-Parada / Escuela De Aviación,-33.5616208672366,-70.6807278646637,
PG52,,PG52-Parada / Paradero 33 Gran Avenida,-33.5592208607008,-70.6788470000871,
PG53,,PG53-Gran Avenida / Esq. Los Treboles,-33.5576028818248,-70.6775740002592,
PG54,,PG54-Parada / Paradero 32 Gran Avenida,-33.555715907843,-70.6760819998502,
PG55,,PG55-Parada 2 / Paradero 31 Gran Avenida,-33.5537629334706,-70.6745429998351,
PG56,,PG56-Parada 2 / Paradero 30 Gran Avenida,-33.5513380759362,-70.6726239110333,
PG57,,PG57-Parada / Paradero 29 Gran Avenida,-33.5492179939966,-70.670973999754,
PG58,,PG58-Parada 2 / Paradero 28 Gran Avenida,-33.545890038726,-70.6683310005704,
PG59,,PG59-Parada 2 / Paradero 27 Gran Avenida,-33.5430640756793,-70.6660860003385,
PG61,,PG61-Parada 8 / (M) La Cisterna,-33.537927103452,-70.6644540000028,
PG62,,PG62-Parada / Paradero 23 Gran Avenida,-33.533450046651,-70.6631742020136,
PG63,,PG63-Parada / Iglesia Don Bosco,-33.53218513074,-70.6628260000898,
PG64,,PG64-Parada 2 / Paradero 22 Gran Avenida,-33.5295342617976,-70.6620821490497,
PG65,,PG65-Parada 2 / (M) El Parrón,-33.5268671548216,-70.6613820000668,
PG66,,PG66-Parada 2 / Paradero 2 Gran Avenida,-33.5243461661938,-70.6606909996074,
PG67,,PG67-Parada 2 / Paradero 19 Gran Avenida,-33.5208198271447,-70.6596611779405,
PG68,,PG68-Parada / (M) Lo Ovalle,-33.5188372324485,-70.6591068351303,
PG69,,PG69-Parada 2 / Paradero 17 Gran Avenida,-33.5150047445695,-70.6580007632293,
PH124,,PH124-Parada / Paradero 15 Gran Avenida,-33.5115748448949,-70.6570337044413,
PH125,,PH125-Parada / Paradero 14 Gran Avenida,-33.5082622416191,-70.6561249999196,
PH126,,PH126-Parada / Paradero 13 Gran Avenida,-33.5054597777744,-70.6553399340919,
PH127,,PH127-Parada 2 / (M) Departamental,-33.5038902618113,-70.6549010004942,
PH128,,PH128-Parada / Colegio Chile,-33.5011440523024,-70.6540774836387,
PH129,,PH129-Parada 2 / Paradero 11 Gran Avenida,-33.4984972874004,-70.6533369996958,
PH130,,PH130-Parada / Paradero 9 1/2 Gran Avenida,-33.4953013024373,-70.6524330005108,
PH131,,PH131-Parada / Paradero 9 Gran Avenida,-33.4929453129013,-70.6517780005086,
PH132,,PH132-Parada 2 / Paradero 8 Gran Avenida,-33.4902778199263,-70.6511189712221,
PH133,,PH133-Parada 2 / Muni.San Miguel,-33.4870053389255,-70.6502190002935,
PH134,,PH134-Parada 2 / Hospital Barros Luco,-33.4846073497811,-70.6495709998593,
PH135,,PH135-Parada 2 / Paradero 3 Gran Avenida,-33.4799033718469,-70.6481949995028,
PA63,,PA63-Parada 2 / (M) Franklin,-33.4758705286133,-70.6481328398032,
PA64,,PA64-San Diego / Esq. Schiavett,-33.4729687837427,-70.6482928943917,
PA65,,PA65-San Diego / Esq. Ñuble,-33.4699227269104,-70.6484523552025,
PA66,,PA66-Parada / Liceo Barros Borgoño,-33.4663233092322,-70.6486738562612,
PA67,,PA67-San Diego / Esq. Santiago,-33.4629204841516,-70.6488481755512,
PA68,,PA68-San Diego / Esq. Av. Manuel A. Matta,-33.4597830398098,-70.6490446197136,
PA69,,PA69-Parada / Teatro Caupolicán,-33.4558347906664,-70.6496587396763,
PA70,,PA70-San Diego / Esq. Eyzaguirre,-33.4534386849697,-70.6500414347633,
PA72,,PA72-Parada 2 / (M) Pque. Almagro,-33.4506621129466,-70.6504635931877,
PA717,,PA717-Tarapacá / Esq. Zenteno,-33.4475237366748,-70.6520750002697,
PA212,,PA212-Tarapacá / Esq. Lord Cochrane,-33.4477489982157,-70.6540147168618,
PA720,,PA720-Lord Cochrane / Esq. Alameda,-33.4455653578593,-70.6553055536304,
PA218,,PA218-Hermanos Amunátegui / Esq. Moneda,-33.4426437214265,-70.6559750961495,
PA718,,PA718-Hermanos Amunátegui / Esq. Catedral,-33.438227235029,-70.6567580000549,
PA719,,PA719-Hermanos Amunátegui / Esq. San Pablo,-33.4348682276191,-70.6572349999139,
PA87,,PA87-Parada 7 / Estación Mapocho,-33.432999306532,-70.6523909999609,
PB211,,PB211-Parada / Vega Central,-33.4306323191475,-70.6515960005547,
PB212,,PB212-Parada / Terminal Lastra,-33.4288524265465,-70.6514055520921,
PB587,,PB587-Echeverría / Esq. Residencial,-33.4249650341975,-70.6518838660361,
PB214,,PB214-Echeverría / Esq. Av. Independencia,-33.4251054534301,-70.6542771980773,
PB1952,,PB1952-Parada 5 / Hospital Clínico U. De Chile,-33.4202154287656,-70.6558050980771,
PB1954,,PB1954-Parada 6 / (M) Hospitales,-33.4174617179091,-70.656478198077,
PB1956,,PB1956-Av. Independencia / Esq. Baldomero Lillo,-33.4152794038906,-70.6573418980769,
PB1959,,PB1959-Av. Independencia / Esq. General Saavedra,-33.4101522652488,-70.6597130980763,
PB1963,,PB1963-Parada 5 / (M) Pza. Chacabuco,-33.405876133927,-70.6616281980758,
PB1966,,PB1966-Parada 2 / Einstein - Independencia,-33.4035093998459,-70.6636974980752,
PB1968,,PB1968-Av. Independencia / Esq. Huidobro,-33.4005781539354,-70.6664721980742,
PB279,,PB279-Parada 8 / (M) Conchalí,-33.3973317073931,-70.6701764689667,
PB280,,PB280-Av. Independencia / Esq. Aviador Acevedo,-33.3959559917887,-70.6715850005154,
PB281,,PB281-Av. Independencia / Esq. Teniente Ponce,-33.3935089624545,-70.6733350000265,
PB227,,PB227-Av. Independencia / Esq. Elcira Espinoza,-33.3907659328986,-70.6750890002416,
PB283,,PB283-Av. Independencia / Esq. Doctor Asenjo,-33.3882812235837,-70.6771259289872,
PB1708,,PB1708-Parada 2 / (M) Vivaceta,-33.3852662488864,-70.6795957277315,
PB285,,PB285-Av. Independencia / Esq. Juncal,-33.3831228416487,-70.6814637997534,
PB286,,PB286-Av. Independencia / Esq. Uno Sur,-33.3813389357915,-70.6826378481933,
PB232,,PB232-Av. Independencia / Esq. Uno Norte,-33.3791007908442,-70.6834600005296,
PB233,,PB233-Parada 3 / (M) Cardenal Caro,-33.3744897506714,-70.6858319997833,
PB234,,PB234-Av. Independencia / Esq. Barranquilla,-33.371491721513,-70.6875290000008,
PB290,,PB290-Av. Independencia / Esq. Asunción,-33.3691036059509,-70.6884868631728,
PB236,,PB236-Parada 2 / (M) Los Libertadores,-33.3668331733865,-70.6891178936162,
PB237,,PB237-Calle 1 / Esq. Real Audiencia,-33.3638663555271,-70.6888765564213,
PB1491,,PB1491-San Pedro De Atacama / Esq. Lluta,-33.3598045862511,-70.6895617629416,
PB243,,PB243-San Pedro De Atacama / Esq. Isluga,-33.3600297314657,-70.6870109996812,
PB1564,,PB1564-San Pedro De Atacama / Esq. Lasaña,-33.3601797553454,-70.6856050002073,
PB1626,,PB1626-Mejillones / Esq. Pajonales,-33.3592266901268,-70.6845918319727,
PB240,,PB240-Mejillones / Esq. Los Libertadores,-33.3594234514323,-70.6825009544714,
PB1624,,PB1624-Parada 1 / Terminal Los Libertadores,-33.3617018734699,-70.681876002505,
PB299,,PB299-Avenida Recoleta / Esq. Industrial,-33.38077151385,-70.6395740000842,
PB300,,PB300-Avenida Recoleta / Esq. Av. A. Vespucio,-33.3824695030666,-70.6402740002113,
PB1369,,PB1369-Avenida Recoleta / Esq. Oscar Castro,-33.3845654900517,-70.6410790000124,
PB301,,PB301-Avenida Recoleta / Esq. M. Luisa Bombal,-33.3860004798762,-70.6416939996126,
PB302,,PB302-Avenida Recoleta / Esq. Alfredo Rosende,-33.3883391861521,-70.6423639002846,
PB303,,PB303-Parada 3 / (M) Zapadores,-33.3914964665741,-70.6425349997791,
PB304,,PB304-Avenida Recoleta / Esq. Urmeneta,-33.3933031376833,-70.642671753918,
PB305,,PB305-Parada 1 / (M) Dorsal,-33.3961622121349,-70.6428015676184,
PB1728,,PB1728-Avenida Recoleta / Esq. Emiliano Zapata,-33.3990174601528,-70.6428909996574,
PB306,,PB306-Avenida Recoleta / Esq. Muñoz Gamero,-33.4006524589248,-70.6429779995233,
PB307,,PB307-Avenida Recoleta / Esq. Diag. José M. Caro,-33.4031346899022,-70.6431038803523,
PB308,,PB308-Parada 1 / (M) Einstein,-33.4054076858215,-70.643240571169,
PB309,,PB309-Avenida Recoleta / Esq. Avenida México,-33.4079925776683,-70.6433765432087,
PB310,,PB310-Avenida Recoleta / Esq. Saliano,-33.4105403934125,-70.6434677621647,
PB311,,PB311-Parada 3 / (M) Cementerios,-33.4134344176726,-70.6436978120059,
PB312,,PB312-Avenida Recoleta / Esq. El Salto Chico,-33.4171753074405,-70.6438712986616,
PB313,,PB313-Avenida Recoleta / Esq. Urrutia,-33.4188678281573,-70.6440573069104,
PB314,,PB314-Parada 1 / (M) Cerro Blanco,-33.4216294690283,-70.6447933568903,
PB315,,PB315-Avenida Recoleta / Esq. Olivos,-33.4248494137472,-70.6457680001365,
PB316,,PB316-Parada / Clínica Dávila,-33.4270791983654,-70.6464098444858,
PB317,,PB317-Parada / (M) Patronato,-33.429307392022,-70.6470739998121,
PB318,,PB318-Parada 3 / Recoleta Franciscana,-33.4315660859266,-70.6479547820734,
PA88,,PA88-Parada 7 / Mercado Central,-33.4336464521314,-70.6489858509287,
PA195,,PA195-Parada 1 / Monjitas - San Antonio,-33.436676732091,-70.6486600041411,
PA763,,PA763-Parada 2 / Teatro Municipal,-33.4388201517162,-70.6483108388667,
PA91,,PA91-Parada 11 / (M) Santa Lucía,-33.4419587625273,-70.6478825378835,
PA92,,PA92-Parada 1 / Alonso De Ovalle - San Francisco,-33.4452056491427,-70.6471314291699,
PA93,,PA93-Parada 3 / Santa Isabel - San Francisco,-33.4505632489924,-70.6469233848967,
PA94,,PA94-Parada 3 / Diez De Julio - San Francisco,-33.4532604168261,-70.6466036293201,
PA95,,PA95-Parada 9 / (M) Matta,-33.4576564133609,-70.6456529995777,
PA96,,PA96-Parada 3 / Hospital Sn. Borja Arriarán,-33.4606920372462,-70.6450484912998,
PA97,,PA97-Parada 3 / Victoria - San Francisco,-33.4642077843678,-70.6446449510631,
PA98,,PA98-Parada 3 / Ñuble - San Francisco,-33.4690874386947,-70.644058999735,
PA99,,PA99-Parada 3 / Matadero Franklin,-33.4722574900127,-70.6438841816054,
PA819,,PA819-San Francisco / Esq. Placer,-33.4751535119733,-70.6438183579733,
PH138,,PH138-Parada 1 / (M) Bío Bío,-33.4783058258457,-70.641968969208,
PH139,,PH139-Parada 3 / Paradero 3 Santa Rosa,-33.480602473913,-70.6418130001069,
PH140,,PH140-Parada 3 / Hospital Trudeau,-33.4838824658455,-70.6414319055461,
PH141,,PH141-Parada 3 / Paradero 6 Santa Rosa,-33.4877404883623,-70.6409040004532,
PH142,,PH142-Parada 3 / Paradero 8 Santa Rosa,-33.4917884965723,-70.6403750001953,
PH143,,PH143-Parada 3 / Paradero 9 Santa Rosa,-33.4949035033708,-70.6399300003587,
PH144,,PH144-Parada 3 / Paradero 9 1/2 Santa Rosa,-33.4974765071868,-70.6396339997815,
PH145,,PH145-Parada 3 / Paradero 11 Santa Rosa,-33.5022115154299,-70.6391520000669,
PH146,,PH146-Parada 7 / Departamental - Santa Rosa,-33.5065945218126,-70.6387100003414,
PH147,,PH147-Parada 1 / Paradero 13 Santa Rosa,-33.5107525351891,-70.6378480004288,
PH148,,PH148-Parada 1 / Paradero 14 Santa Rosa,-33.5137475443267,-70.637243000094,
PH149,,PH149-Parada 1 / Paradero 16 Santa Rosa,-33.5177375518037,-70.6367939999076,
PG90,,PG90-Parada 3 / Paradero 18 Santa Rosa,-33.5223265587506,-70.6363250000605,
PG91,,PG91-Parada 1 / Paradero 19 Santa Rosa,-33.5259755648735,-70.6359049997442,
PG92,,PG92-Parada 1 / Paradero 21 Santa Rosa,-33.5298905738926,-70.6353470000341,
PG93,,PG93-Parada 1 / Paradero 22 Santa Rosa,-33.5336705823478,-70.6347649997621,
PG94,,PG94-Parada 1 / Paradero 23 Santa Rosa,-33.5385271447235,-70.6344889353417,
PG116,,PG116-Parada 8 / (M) Santa Rosa,-33.5418505902107,-70.6342419999389,
PG254,,PG254-Parada 1 / Paradero 26 Santa Rosa,-33.5459046000589,-70.6336519999384,
PE1294,,PE1294-Parada 3 / Paradero 28 Santa Rosa,-33.5502036126289,-70.63281200017,
PG97,,PG97-Parada 3 / Hospital Padre Hurtado,-33.5534206237106,-70.6321129996616,
PG1611,,PG1611-Parada 5 / Paradero 30 Santa Rosa,-33.5578120149771,-70.63126420056,
PG1617,,PG1617-Parada 6 / Santo Tomás - Santa Rosa,-33.5603813574494,-70.6307569195889,
PG1464,,PG1464-Violeta Parra / Esq. El Bosque,-33.5610815898195,-70.6342350000485,
PG100,,PG100-Violeta Parra / Esq. P. Aguirre Cerda,-33.5609205310541,-70.6379610000106,
PG101,,PG101-Violeta Parra / Esq. Santa Pilar,-33.560819189279,-70.6403445073093,
PG102,,PG102-Violeta Parra / Esq. Los Almendros,-33.5605344320539,-70.6441909995391,
PG103,,PG103-Violeta Parra / Esq. A. Latorre,-33.5603954008392,-70.6461500002114,
PG1129,,PG1129-Violeta Parra / Esq. Av. La Bandera,-33.5602929328618,-70.6480888783744,
PG1130,,PG1130-Violeta Parra / Esq. Isabel De Hungría,-33.5601803359653,-70.650199999663,
PG1131,,PG1131-Violeta Parra / Esq. San Manuel,-33.5599710774936,-70.6527669048735,
PG1132,,PG1132-Violeta Parra / Esq. Av. San Francisco,-33.5597482434296,-70.6558570003765,
PG301,,PG301-Av. San Francisco / Esq. Los Peucos,-33.561833228194,-70.6567870004516,
PG1267,,PG1267-Av. Observatorio / Esq. Las Araucarias,-33.5621322044841,-70.6582730003867,
PG1268,,PG1268-Av. Observatorio / Esq. Julio Covarrubias,-33.5615421432081,-70.6619770002642,
PG1269,,PG1269-Av. Observatorio / Esq. Los Avellanos,-33.5611731055453,-70.6642560002358,
PG1673,,PG1673-Los Raulíes / Esq. Antonio Varas,-33.562834266878,-70.6656455845219,
PG572,,PG572-Los Raulíes / Esq. Santa Elena,-33.5654063658395,-70.6662604818625,
PG573,,PG573-Los Raulíes / Esq. El Conquistador,-33.5671980644567,-70.6667169999586,
PG574,,PG574-Los Raulíes / Esq. El Libertador,-33.56971088769,-70.6674009548149,
PG575,,PG575-Los Raulíes / Esq. Lo Martínez,-33.5722107827972,-70.6680524794917,
PG576,,PG576-Parada / Cesfam Haydée López,-33.5725740994203,-70.6670599524003,
PG577,,PG577-Lo Martínez / Esq. Los Minbres,-33.5729690948568,-70.6648709999398,
PG578,,PG578-Lo Martínez / Esq. San Francisco,-33.5737511689759,-70.6603959995255,
PG150,,PG150-Av. San Francisco / Esq. General Carvajal,-33.5755712202615,-70.6607167250813,
PG151,,PG151-Av. San Francisco / Esq. San Clemente,-33.5780059200845,-70.6613654203734,
PG152,,PG152-Av. San Francisco / Esq. Sargento Rebolledo,-33.5799471762652,-70.6619015910329,
PG153,,PG153-Av. San Francisco / Esq. Vecinar Sur,-33.581905134281,-70.6624339996674,
PG1761,,PG1761-Av. San Francisco / Esq. Las Parcelas,-33.5834701274067,-70.6628559995737,
PG1757,,PG1757-Avenida Lo Blanco / Esq. V. Pérez Rosales,-33.5852581307792,-70.6626589996556,
PG1756,,PG1756-Avenida Lo Blanco / Esq. Tte. L. Cruz Martínez,-33.5854881588502,-70.6609680000156,
PG1779,,PG1779-Tucapel / Esq. Av. San Francisco,-33.5869921163959,-70.6635330005133,
PG950,,PG950-Av. San Francisco / Esq. Avenida Lo Blanco,-33.5854411201014,-70.6632979996574,
PG233,,PG233-Av. San Francisco / Esq. Julio Barrenechea,-33.582636133912,-70.6624640000895,
PG159,,PG159-Av. San Francisco / Esq. Sgto. D. Rebolledo,-33.5803451444379,-70.6618319995445,
PG160,,PG160-Av. San Francisco / Esq. Bernardino Parada,-33.5773551584366,-70.6610229995413,
PG161,,PG161-Av. San Francisco / Esq. Río Loa,-33.5755461660956,-70.6605650005362,
PG628,,PG628-Lo Martínez / Esq. Los Andes,-33.5731673273866,-70.6630676927205,
PG629,,PG629-Parada / Cesfam Haydée López,-33.5724908142051,-70.6669769759998,
PG630,,PG630-Los Raulíes / Esq. El Libertador,-33.5701140534366,-70.6673759999643,
PG631,,PG631-Los Raulíes / Esq. Los Avellanos,-33.5683762707168,-70.6669138865646,
PG632,,PG632-Los Raulíes / Esq. Santa Elena,-33.5654340738841,-70.6661640003472,
PG633,,PG633-Los Raulíes / Esq. Antonio Varas,-33.5632500822841,-70.6656589997632,
PG634,,PG634-Los Raulíes / Esq. Av. Observatorio,-33.5613290892025,-70.6652289995671,
PG635,,PG635-Av. Observatorio / Esq. Los Avellanos,-33.5612240990453,-70.6646499995815,
PG636,,PG636-Av. Observatorio / Esq. Los Mimbres,-33.5615791358867,-70.6623900004453,
PG1239,,PG1239-Av. Observatorio / Esq. Los Pinares,-33.5620851860174,-70.6593500003604,
PG1240,,PG1240-Av. Observatorio / Esq. San Francisco,-33.5624473266692,-70.6571222684957,
PG312,,PG312-Av. San Francisco / Esq. Los Gorriones,-33.5620812302037,-70.6566649995945,
PG313,,PG313-Av. San Francisco / Esq. Violeta Parra,-33.559969238847,-70.656160999773,
PG1083,,PG1083-Violeta Parra / Esq. Las Bandurrias,-33.5600852982431,-70.6525320005195,
PG1084,,PG1084-Violeta Parra / Esq. Fco. De Goya,-33.5602883378899,-70.6500800002387,
PG1085,,PG1085-Violeta Parra / Esq. Av. La Bandera,-33.560368364054,-70.6484590001248,
